title,imdbid,production_countries
The Imaginarium of Doctor Parnassus,1054606,United Kingdom
A Single Man,1315981,United States of America
The Road,898367,United States of America
The Wind Journeys,1426374,Argentina
The Wind Journeys,1426374,Colombia
The Wind Journeys,1426374,Germany
The Wind Journeys,1426374,Netherlands
Capitalism: A Love Story,1232207,United States of America
I Love You Phillip Morris,1045772,United States of America
Soul Kitchen,1244668,France
Soul Kitchen,1244668,Germany
Soul Kitchen,1244668,Italy
Lost Persons Area,1405808,
Daybreakers,433362,United States of America
Daybreakers,433362,Australia
Humpday,1334537,United States of America
Brooklyn's Finest,1210042,United States of America
The Informant!,1130080,United States of America
Air Doll,1371630,Japan
Invictus,1057500,United States of America
Daddy Longlegs,1426362,France
Daddy Longlegs,1426362,United States of America
Mr. Nobody,485947,Belgium
Mr. Nobody,485947,Canada
Mr. Nobody,485947,France
Mr. Nobody,485947,Germany
Planet 51,762125,Spain
Planet 51,762125,United Kingdom
Planet 51,762125,United States of America
44 Inch Chest,914837,United Kingdom
Youth in Revolt,403702,United States of America
The Secret in Their Eyes,1305806,Argentina
The Secret in Their Eyes,1305806,Spain
Map of the Sounds of Tokyo,1185376,Spain
2012,1190080,United States of America
Survival of the Dead,1134854,Canada
Survival of the Dead,1134854,United States of America
A Prophet,1235166,France
A Prophet,1235166,Italy
The Limits of Control,1135092,Japan
The Limits of Control,1135092,United States of America
"Police, Adjective",1337051,Romania
Defendor,1303828,Canada
Defendor,1303828,United Kingdom
Defendor,1303828,United States of America
Suck,1323605,Canada
Get Low,1194263,United States of America
Where the Wild Things Are,386117,Australia
Where the Wild Things Are,386117,Germany
Where the Wild Things Are,386117,United States of America
G-Force,436339,United States of America
Fast & Furious,1013752,Japan
Fast & Furious,1013752,United States of America
Eyes Wide Open,1424327,France
Eyes Wide Open,1424327,Germany
Eyes Wide Open,1424327,Israel
Gamer,1034032,United States of America
A Town Called Panic,1433540,Belgium
A Town Called Panic,1433540,France
A Town Called Panic,1433540,Luxembourg
Mary and Max,978762,Australia
Enter the Void,1191111,Brazil
Enter the Void,1191111,Canada
Enter the Void,1191111,France
Enter the Void,1191111,Germany
Enter the Void,1191111,Italy
The Messenger,790712,United States of America
OSS 117: Lost in Rio,1167660,France
3 Idiots,1187043,India
Harry Brown,1289406,United Kingdom
Headhunter,1322315,Denmark
Pandorum,1188729,Germany
Pandorum,1188729,United Kingdom
The Skeptic,493451,United States of America
Fired Up!,1083456,United States of America
The Wild Hunt,1493886,Canada
[REC]²,1245112,Spain
The Dark House,1485698,Poland
Heartless,1220214,United Kingdom
Children of the Corn,1290135,United States of America
Bran Nue Dae,1148165,Australia
Taking Woodstock,1127896,United States of America
After.Life,838247,United States of America
I Can Do Bad All By Myself,1385912,United States of America
(Untitled),1132193,United States of America
Cherrybomb,1248971,United Kingdom
Dorian Gray,1235124,United Kingdom
Looking for Eric,1242545,Belgium
Looking for Eric,1242545,France
Looking for Eric,1242545,Italy
Looking for Eric,1242545,Spain
Looking for Eric,1242545,United Kingdom
Mystery Team,1237838,United States of America
Hachi: A Dog's Tale,1028532,United Kingdom
Hachi: A Dog's Tale,1028532,United States of America
Cold Souls,1127877,United States of America
Night at the Museum: Battle of the Smithsonian,1078912,United States of America
Night at the Museum: Battle of the Smithsonian,1078912,Canada
Hot Tub Time Machine,1231587,United States of America
Shutter Island,1130884,United States of America
The Wolfman,780653,United States of America
Kick-Ass,1250777,United Kingdom
Kick-Ass,1250777,United States of America
MacGruber,1470023,United States of America
Get Him to the Greek,1226229,United States of America
Greenberg,1234654,United States of America
Shrek Forever After,892791,United States of America
Peacock,1188113,United States of America
Boy,1560139,New Zealand
The Last Airbender,938283,United States of America
Centurion,1020558,France
Centurion,1020558,United Kingdom
The Expendables,1320253,United States of America
The Sorcerer's Apprentice,963966,United States of America
The Town,840361,United Kingdom
The Town,840361,United States of America
Middle Men,1251757,United States of America
My Afternoons With Margueritte,1455151,France
Cyrus,1336617,United States of America
The American,1440728,United Kingdom
The American,1440728,United States of America
Cop Out,1385867,United States of America
The Losers,480255,United States of America
Submarino,1322385,Denmark
Monga,1604900,Taiwan
Dinner for Schmucks,427152,United States of America
The Social Network,1285016,United States of America
Let Me In,1228987,United Kingdom
Let Me In,1228987,United States of America
Buried,1462758,France
Buried,1462758,Spain
Buried,1462758,United States of America
13 Assassins,1436045,Japan
13 Assassins,1436045,United Kingdom
TRON: Legacy,1104001,United States of America
Charlie St. Cloud,1438254,United States of America
Jack and the Beanstalk,1079968,United States of America
Simple Simon,1686313,Sweden
Biutiful,1164999,Mexico
Biutiful,1164999,Spain
It's Kind of a Funny Story,804497,United States of America
Submarine,1440292,United Kingdom
Submarine,1440292,United States of America
Due Date,1231583,United States of America
Takers,1135084,United States of America
Super,1512235,United States of America
Everything Must Go,1531663,United States of America
Batman: Under the Red Hood,1569923,United States of America
Casino Jack,1194417,Canada
The Human Resources Manager,1311075,France
The Human Resources Manager,1311075,Germany
The Human Resources Manager,1311075,Israel
Animal Kingdom,1313092,Australia
Beginners,1532503,United States of America
Post Mortem,1714886,Chile
Post Mortem,1714886,Germany
Post Mortem,1714886,Mexico
Happythankyoumoreplease,1481572,United States of America
The Trip,1740047,United Kingdom
Wild Target,1235189,France
Wild Target,1235189,United Kingdom
Senna,1424432,France
Senna,1424432,United Kingdom
Senna,1424432,United States of America
Troll Hunter,1740707,Norway
Outside the Law,1229381,Algeria
Outside the Law,1229381,Belgium
Outside the Law,1229381,France
Stake Land,1464580,United States of America
King of Devil's Island,1332134,Norway
King of Devil's Island,1332134,France
King of Devil's Island,1332134,Sweden
King of Devil's Island,1332134,Poland
Justice League: Crisis on Two Earths,1494772,United States of America
Ip Man 2,1386932,China
Ip Man 2,1386932,Hong Kong
The Hunter,1190072,Iran
The Hunter,1190072,Germany
I Saw the Devil,1588170,South Korea
Four Lions,1341167,France
Four Lions,1341167,United Kingdom
Edge of Darkness,1226273,United Kingdom
Edge of Darkness,1226273,United States of America
Frozen,1323045,United States of America
The Killer Inside Me,954947,United States of America
Vanishing on 7th Street,1452628,United States of America
Pete Smalls Is Dead,1381413,United States of America
London Boulevard,1213648,United Kingdom
London Boulevard,1213648,United States of America
Love in a Puff,1602479,Hong Kong
Easy Money,1291652,Denmark
Easy Money,1291652,Sweden
Easy Money,1291652,Germany
18 Years Later,1433802,Italy
Jack Goes Boating,1278379,United States of America
The Reef,1320291,Australia
22 Bullets,1167638,France
Third Star,1510906,United Kingdom
Sasha,1667691,Germany
Yu-Gi-Oh!: Bonds Beyond Time,1587157,Japan
Gantz,1525835,Japan
The Green Hornet,990407,United States of America
I Am Number Four,1464540,United States of America
Rango,1192628,United States of America
Battle: Los Angeles,1217613,United States of America
Beastly,1152398,United States of America
S.W.A.T.: Firefight,1621429,United States of America
The Lincoln Lawyer,1189340,United States of America
Source Code,945513,Canada
Source Code,945513,United States of America
Limitless,1219289,United States of America
Your Highness,1240982,United States of America
Rio,1436562,United States of America
Hesher,1403177,United States of America
Pirates of the Caribbean: On Stranger Tides,1298650,United Kingdom
Pirates of the Caribbean: On Stranger Tides,1298650,United States of America
Water for Elephants,1067583,United States of America
Too Big to Fail,1742683,United States of America
The Hangover Part II,1411697,United States of America
Green Lantern,1133985,United States of America
Mr. Popper's Penguins,1396218,United States of America
Captain America: The First Avenger,458339,United States of America
Cowboys & Aliens,409847,India
Cowboys & Aliens,409847,United States of America
Rise of the Planet of the Apes,1318514,United States of America
30 Minutes or Less,1622547,United States of America
30 Minutes or Less,1622547,Germany
30 Minutes or Less,1622547,Canada
The Guard,1540133,Ireland
The Inbetweeners Movie,1716772,United Kingdom
Donovan's Echo,1743922,Canada
Moneyball,1210166,United States of America
Starbuck,1756750,Canada
The Ides of March,1124035,United States of America
Tinker Tailor Soldier Spy,1340800,Germany
Tinker Tailor Soldier Spy,1340800,United Kingdom
Tinker Tailor Soldier Spy,1340800,France
Tinker Tailor Soldier Spy,1340800,Turkey
Page One: Inside the New York Times,1787777,United States of America
Real Steel,433035,United States of America
Real Steel,433035,India
The Artist,1655442,Belgium
The Artist,1655442,France
The Captains,1946421,United States of America
In Time,1637688,United States of America
The Adventures of Tintin,983193,New Zealand
The Adventures of Tintin,983193,United States of America
Margin Call,1615147,United States of America
A Very Harold & Kumar Christmas,1268799,United States of America
Free Men,1699185,France
The Muppets,1204342,United States of America
Priest,822847,United States of America
The Intouchables,1675434,France
Sherlock Holmes: A Game of Shadows,1515091,United Kingdom
Sherlock Holmes: A Game of Shadows,1515091,United States of America
The Girl with the Dragon Tattoo,1568346,United States of America
The Girl with the Dragon Tattoo,1568346,Norway
The Girl with the Dragon Tattoo,1568346,Sweden
Diary of a Wimpy Kid: Rodrick Rules,1650043,United States of America
War Horse,1568911,United States of America
Tower Heist,471042,United States of America
Mission: Impossible - Ghost Protocol,1229238,United Arab Emirates
Mission: Impossible - Ghost Protocol,1229238,United States of America
The Rum Diary,376136,United States of America
Once Upon a Time in Anatolia,1827487,Bosnia and Herzegovina
Once Upon a Time in Anatolia,1827487,Turkey
Cedar Rapids,1477837,United States of America
Warrior,1291584,United States of America
The Human Centipede 2 (Full Sequence),1530509,United Kingdom
The Human Centipede 2 (Full Sequence),1530509,Netherlands
This Is Not a Film,1667905,Iran
Familiar Grounds,1671457,Canada
Sleepless Night,1683921,Belgium
Sleepless Night,1683921,France
Sleepless Night,1683921,Luxembourg
Headhunters,1614989,Germany
Headhunters,1614989,Denmark
Headhunters,1614989,Norway
Headhunters,1614989,Sweden
We Have a Pope,1456472,France
We Have a Pope,1456472,Italy
The Art of Getting By,1645080,United States of America
Shame,1723811,Canada
Shame,1723811,United Kingdom
This Must Be the Place,1440345,France
This Must Be the Place,1440345,Ireland
This Must Be the Place,1440345,Italy
Colombiana,1657507,France
Blackthorn,1629705,Bolivia
Blackthorn,1629705,France
Blackthorn,1629705,Spain
Blackthorn,1629705,United Kingdom
Jackpot,1809231,Norway
Nicostratos the Pelican,1891942,France
Nicostratos the Pelican,1891942,Greece
When Pigs Have Wings,1735200,France
When Pigs Have Wings,1735200,Germany
When Pigs Have Wings,1735200,Belgium
Juan of the Dead,1838571,Cuba
Juan of the Dead,1838571,Spain
The Double,1646980,United States of America
Weekend,1714210,United Kingdom
Arthur Christmas,1430607,United Kingdom
Arthur Christmas,1430607,United States of America
All Superheroes Must Die,1836212,
The Change-Up,1488555,United States of America
State of Emergency,1705134,United States of America
Unknown,1401152,France
Unknown,1401152,Germany
Unknown,1401152,United Kingdom
"Oslo, August 31st",1736633,Denmark
"Oslo, August 31st",1736633,Norway
"Oslo, August 31st",1736633,Sweden
Sleep Tight,1437358,Spain
The Hidden Face,1772250,Colombia
The Hidden Face,1772250,Spain
One Day,1563738,United Kingdom
One Day,1563738,United States of America
Faust,1437357,Russia
Bernie,1704573,United States of America
Abduction,1600195,United States of America
The Dilemma,1578275,United States of America
Gantz: Perfect Answer,1525836,Japan
Ironclad,1233301,United Kingdom
Ironclad,1233301,United States of America
Chronicle,1706593,United States of America
The Woman in Black,1596365,Canada
The Woman in Black,1596365,Sweden
The Woman in Black,1596365,United Kingdom
Wrath of the Titans,1646987,Spain
Wrath of the Titans,1646987,United States of America
The Pirates! In an Adventure with Scientists!,1430626,United Kingdom
The Pirates! In an Adventure with Scientists!,1430626,United States of America
Battleship,1440129,United States of America
The Avengers,848228,United States of America
The Raven,1486192,Hungary
The Raven,1486192,Serbia
The Raven,1486192,Spain
The Raven,1486192,United States of America
That's My Boy,1232200,United States of America
Men in Black 3,1409024,United Arab Emirates
Men in Black 3,1409024,United States of America
Chernobyl Diaries,1991245,United States of America
The Dictator,1645170,United States of America
Man on a Ledge,1568338,United States of America
The Dark Knight Rises,1345836,United States of America
Cosmopolis,1480656,Canada
Cosmopolis,1480656,France
Cosmopolis,1480656,Italy
Cosmopolis,1480656,Portugal
Lawless,1212450,United States of America
Holy Motors,2076220,Belgium
Holy Motors,2076220,France
Holy Motors,2076220,Germany
The Lorax,1482459,United States of America
The Campaign,1790886,United States of America
Robot & Frank,1990314,United States of America
The Words,1840417,United States of America
Seeking a Friend for the End of the World,1307068,United States of America
Total Recall,1386703,Canada
Total Recall,1386703,United States of America
The Master,1560747,United States of America
Looper,1276104,United States of America
Seven Psychopaths,1931533,United Kingdom
Seven Psychopaths,1931533,United States of America
Red Dawn,1234719,United States of America
Jack Reacher,790724,United States of America
Rise of the Guardians,1446192,United States of America
Life of Pi,454876,Canada
Life of Pi,454876,Taiwan
Life of Pi,454876,United Kingdom
Life of Pi,454876,United States of America
Dabangg 2,2112131,India
Django Unchained,1853728,United States of America
Berberian Sound Studio,1833844,Australia
Berberian Sound Studio,1833844,Germany
Berberian Sound Studio,1833844,United Kingdom
Safe,1656190,United States of America
No,2059255,Mexico
No,2059255,Chile
No,2059255,France
No,2059255,United States of America
V/H/S,2105044,United States of America
Le grand soir,2008562,Germany
Le grand soir,2008562,France
Le grand soir,2008562,Belgium
The Place Beyond the Pines,1817273,United States of America
A Coffee in Berlin,1954701,Germany
The Angels' Share,1924394,Belgium
The Angels' Share,1924394,France
The Angels' Share,1924394,Italy
The Angels' Share,1924394,United Kingdom
Gambit,404978,United States of America
Four Assassins,1478804,Hong Kong
Four Assassins,1478804,United States of America
The Man with the Iron Fists,1258972,Hong Kong
The Man with the Iron Fists,1258972,United States of America
Papadopoulos & Sons,2006810,United Kingdom
Interview with a Hitman,2061712,United Kingdom
John Dies at the End,1783732,United States of America
The Company You Keep,1381404,Canada
The Company You Keep,1381404,United States of America
Citadel,1641975,Ireland
Citadel,1641975,United Kingdom
Extracted,1757746,United States of America
The Bay,1713476,United States of America
A Hijacking,2216240,Denmark
Ernest & Celestine,1816518,Belgium
Ernest & Celestine,1816518,France
Ernest & Celestine,1816518,Luxembourg
"Tad, the Lost Explorer",1764625,Spain
Kill 'em All,1928335,United States of America
Erased,1645155,Belgium
Erased,1645155,Canada
Erased,1645155,United Kingdom
Erased,1645155,United States of America
The Devil's Carnival,2204379,United States of America
Being Flynn,455323,United States of America
Two Rabbits,1753722,Brazil
Liberal Arts,1872818,United States of America
Vanishing Waves,2208216,Belgium
Vanishing Waves,2208216,France
Vanishing Waves,2208216,Lithuania
The Citizen,1942989,United States of America
Asterix & Obelix: God Save Britannia,1597522,France
Asterix & Obelix: God Save Britannia,1597522,Hungary
Asterix & Obelix: God Save Britannia,1597522,Italy
Asterix & Obelix: God Save Britannia,1597522,Spain
Project X,1636826,United States of America
The Deep,1764275,Iceland
Journey 2: The Mysterious Island,1397514,United States of America
Gangster Squad,1321870,United States of America
The Incredible Burt Wonderstone,790628,United States of America
Olympus Has Fallen,2302755,United States of America
Mud,1935179,United States of America
Free Fall,2617828,Germany
Vai Que Dá Certo,2220408,Brazil
Star Trek Into Darkness,1408101,United States of America
The Grandmaster,1462900,China
The Grandmaster,1462900,Hong Kong
This Is the End,1245492,United States of America
Behind the Candelabra,1291580,United States of America
Now You See Me,1670345,United States of America
After Earth,1815862,United States of America
21 & Over,1711425,United States of America
Pain & Gain,1980209,United States of America
SAGA - Curse of the Shadow,2250234,United States of America
The Internship,2234155,United States of America
The Numbers Station,1659338,United Kingdom
The Numbers Station,1659338,United States of America
The Numbers Station,1659338,Belgium
Monsters University,1453405,United States of America
The Lone Ranger,1210819,United States of America
Pacific Rim,1663662,United States of America
R.I.P.D.,790736,United States of America
Welcome to the Punch,1684233,United Kingdom
Welcome to the Punch,1684233,United States of America
2 Guns,1272878,United States of America
Computer Chess,2007360,United States of America
Planes,1691917,United States of America
Killing Season,1480295,Belgium
Killing Season,1480295,United States of America
UMMAH - Unter Freunden,2664258,Germany
The Colony,1160996,Canada
Age of Uprising: The Legend of Michael Kohlhaas,2054790,France
Age of Uprising: The Legend of Michael Kohlhaas,2054790,Germany
Finsterworld,2338864,Germany
Captain Phillips,1535109,United States of America
Filth,1450321,United Kingdom
Filth,1450321,United States of America
Filth,1450321,Germany
Filth,1450321,Sweden
Filth,1450321,Belgium
The Fifth Estate,1837703,India
The Fifth Estate,1837703,Belgium
The Fifth Estate,1837703,United States of America
Beltracchi: The Art of Forgery,3212568,Germany
Inside Llewyn Davis,2042568,United States of America
Inside Llewyn Davis,2042568,France
Inside Llewyn Davis,2042568,United Kingdom
Night Train to Lisbon,1654523,Germany
Night Train to Lisbon,1654523,Portugal
Night Train to Lisbon,1654523,Switzerland
Out of the Furnace,1206543,United States of America
Out of the Furnace,1206543,United Kingdom
A Good Day to Die Hard,1606378,United States of America
The Physician,2101473,Germany
"Me, Myself and Mum",2315200,France
Mandela: Long Walk to Freedom,2304771,United Kingdom
Mandela: Long Walk to Freedom,2304771,South Africa
Rush,1979320,Germany
Rush,1979320,United Kingdom
Rush,1979320,United States of America
Still Life,2395417,Italy
Still Life,2395417,United Kingdom
Some Girl(s),2201221,United States of America
Gimme Shelter,1657510,United States of America
Last Vegas,1204975,United States of America
Long Live Freedom,2523600,Italy
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,2113681,Sweden
Kill Your Darlings,1311071,United States of America
Finding Mr. Right,2169322,China
Interior. Leather Bar.,2352488,United States of America
The Last Stand,1549920,United States of America
The Grand Seduction,2319580,Canada
Wrong Cops,2166616,Angola
Wrong Cops,2166616,Belgium
Wrong Cops,2166616,France
Wrong Cops,2166616,Portugal
Wrong Cops,2166616,Russia
Wrong Cops,2166616,United States of America
The Priest's Children,2395421,Croatia
The Priest's Children,2395421,Montenegro
The Priest's Children,2395421,Serbia
Le Week-End,2392326,France
Le Week-End,2392326,United Kingdom
Rewind,2193185,United States of America
Stalingrad,1966566,Russia
Enemy,2316411,Canada
Enemy,2316411,Spain
Enemy,2316411,United Kingdom
The Selfish Giant,2304426,United Kingdom
Cheap Thrills,2389182,United States of America
The Best Offer,1924396,Italy
She Made Them Do It,2336846,Canada
CBGB,1786751,United States of America
Delivery Man,2387559,United States of America
Delivery Man,2387559,India
The Double,1825157,United Kingdom
Hammer of the Gods,2193418,United Kingdom
Jack Ryan: Shadow Recruit,1205537,Russia
Jack Ryan: Shadow Recruit,1205537,United States of America
The Adventurer: The Curse of the Midas Box,1376213,Belgium
The Adventurer: The Curse of the Midas Box,1376213,United Kingdom
The Adventurer: The Curse of the Midas Box,1376213,Spain
"I, Frankenstein",1418377,Australia
"I, Frankenstein",1418377,United States of America
Mr. Peabody & Sherman,864835,United States of America
The Grand Budapest Hotel,2278388,Germany
The Grand Budapest Hotel,2278388,United States of America
300: Rise of an Empire,1253863,United States of America
Million Dollar Arm,1647668,United States of America
Transcendence,2209764,China
Transcendence,2209764,United States of America
Transcendence,2209764,United Kingdom
The Amazing Spider-Man 2,1872181,United States of America
Muppets Most Wanted,2281587,United Kingdom
Muppets Most Wanted,2281587,United States of America
Chef,2883512,United States of America
Futuro Beach,2199543,Brazil
Futuro Beach,2199543,Germany
X-Men: Days of Future Past,1877832,United States of America
Edge of Tomorrow,1631867,Australia
Edge of Tomorrow,1631867,United States of America
The Bag Man,2212008,United States of America
The Bag Man,2212008,Bahamas
What We Do in the Shadows,3416742,New Zealand
What We Do in the Shadows,3416742,United States of America
How to Train Your Dragon 2,1646971,United States of America
Dawn of the Planet of the Apes,2103281,United States of America
Planes: Fire & Rescue,2980706,United States of America
Jimmy's Hall,3110960,Belgium
Jimmy's Hall,3110960,France
Jimmy's Hall,3110960,Ireland
Jimmy's Hall,3110960,Japan
Jimmy's Hall,3110960,United Kingdom
Need for Speed,2369135,France
Need for Speed,2369135,India
Need for Speed,2369135,Philippines
Need for Speed,2369135,United Kingdom
Need for Speed,2369135,United States of America
Hector and the Search for Happiness,1626146,United Kingdom
Hector and the Search for Happiness,1626146,South Africa
Hector and the Search for Happiness,1626146,Germany
Hector and the Search for Happiness,1626146,Canada
When the Game Stands Tall,2247476,United States of America
Sin City: A Dame to Kill For,458481,United States of America
Frank,1605717,Ireland
Frank,1605717,United Kingdom
The November Man,2402157,United Kingdom
The November Man,2402157,United States of America
The Drop,1600196,United States of America
The Maze Runner,1790864,United States of America
The Maze Runner,1790864,United Kingdom
The Riot Club,2717860,United Kingdom
A Walk Among the Tombstones,365907,United States of America
The Equalizer,455944,United States of America
Whiplash,2582802,United States of America
The Inbetweeners 2,3097204,Australia
The Inbetweeners 2,3097204,United Kingdom
The Pasta Detectives,1679276,Germany
Fury,2713180,United Kingdom
Fury,2713180,United States of America
Fury,2713180,China
The Salvation,2720680,Denmark
The Salvation,2720680,South Africa
The Salvation,2720680,United Kingdom
Automata,1971325,Spain
John Wick,2911666,United States of America
In Order of Disappearance,2675914,Denmark
In Order of Disappearance,2675914,Norway
In Order of Disappearance,2675914,Sweden
The Interview,2788710,United States of America
Inherent Vice,1791528,United States of America
Citizenfour,4044364,Germany
Citizenfour,4044364,United Kingdom
Citizenfour,4044364,United States of America
Foxcatcher,1100089,United States of America
A Pigeon Sat on a Branch Reflecting on Existence,1883180,Sweden
A Pigeon Sat on a Branch Reflecting on Existence,1883180,France
A Pigeon Sat on a Branch Reflecting on Existence,1883180,Germany
A Pigeon Sat on a Branch Reflecting on Existence,1883180,Norway
The Homesman,2398231,France
The Homesman,2398231,United States of America
The Hobbit: The Battle of the Five Armies,2310332,New Zealand
The Hobbit: The Battle of the Five Armies,2310332,United States of America
Mr. Turner,2473794,France
Mr. Turner,2473794,Germany
Mr. Turner,2473794,United Kingdom
American Sniper,2179136,United States of America
The Normal Heart,1684226,United States of America
El Niño,2093990,France
El Niño,2093990,Spain
God's Pocket,2920808,United States of America
Cuban Fury,2390237,United Kingdom
The Last Five Years,2474024,United States of America
Spanish Affair,2955316,Spain
X+Y,3149038,United Kingdom
Cooties,2490326,United States of America
Paper Planes,3328716,Australia
Rosewater,2752688,United States of America
Dark Was the Night,2251281,United States of America
Comet,2965412,United States of America
Court,3717068,India
Stretch,2494280,United States of America
The Judgement,2199436,Bulgaria
The Judgement,2199436,Croatia
The Judgement,2199436,Germany
Boys,3318220,Netherlands
Young Ones,2693664,South Africa
Young Ones,2693664,United States of America
Young Ones,2693664,Ireland
The Gabby Douglas Story,3386954,
When Animals Dream,2818178,Denmark
Horrible Bosses 2,2170439,United States of America
Fort Tilden,3457734,United States of America
H.,3666210,United States of America
H.,3666210,Argentina
Trash,1921149,Brazil
Trash,1921149,Germany
Trash,1921149,United Kingdom
Better Living Through Chemistry,1609479,United Kingdom
Better Living Through Chemistry,1609479,United States of America
Night at the Museum: Secret of the Tomb,2692250,United Kingdom
Night at the Museum: Secret of the Tomb,2692250,United States of America
Earth to Echo,2183034,United States of America
Land of Storms,2474310,Hungary
Land of Storms,2474310,Germany
The Circle,3148952,Switzerland
Taken 3,2446042,France
Taken 3,2446042,United States of America
Ex Machina,470752,United Kingdom
Ex Machina,470752,United States of America
Mortdecai,3045616,United States of America
Chappie,1823672,United States of America
Chappie,1823672,Mexico
Chappie,1823672,South Africa
True Story,2273657,United States of America
Focus,2381941,United States of America
The Measure of a Man,4428814,France
Last Knights,2493486,Czech Republic
Last Knights,2493486,South Korea
Last Knights,2493486,United Kingdom
Last Knights,2493486,United States of America
Run All Night,2199571,United States of America
VANish,3058674,United States of America
Men & Chicken,3877674,Denmark
Men & Chicken,3877674,Germany
The Gunman,2515034,France
The Gunman,2515034,Spain
The Gunman,2515034,United Kingdom
The Gunman,2515034,United States of America
Get Hard,2561572,United States of America
The Four Warriors,4026600,
Ted 2,2637276,United States of America
Pixels,2120120,China
Pixels,2120120,United States of America
The End of the Tour,3416744,United States of America
Self/less,2140379,United States of America
Batman Unlimited: Animal Instincts,4437640,United States of America
Mr. Holmes,3168230,United Kingdom
Mr. Holmes,3168230,United States of America
Straight Outta Compton,1398426,United States of America
American Ultra,3316948,Switzerland
American Ultra,3316948,United States of America
Just Jim,3291148,United Kingdom
Pawn Sacrifice,1596345,United States of America
Dope,3850214,United States of America
Black Mass,1355683,United Kingdom
Black Mass,1355683,United States of America
Bridge of Spies,3682448,India
Bridge of Spies,3682448,United States of America
Bridge of Spies,3682448,Germany
The Walk,3488710,United States of America
Spectre,2379713,United Kingdom
Spectre,2379713,United States of America
Blackhat,2717822,United States of America
In the Heart of the Sea,1390411,Spain
In the Heart of the Sea,1390411,United States of America
Pan,3332064,United States of America
Pan,3332064,United Kingdom
Concussion,3322364,Australia
Concussion,3322364,United States of America
Concussion,3322364,United Kingdom
Macbeth,2884018,France
Macbeth,2884018,United Kingdom
Macbeth,2884018,United States of America
The Big Short,1596363,United States of America
Daddy's Home,1528854,United States of America
Comment c'est Loin,4576612,France
Spotlight,1895587,Canada
Spotlight,1895587,United States of America
Youth,3312830,United Kingdom
Youth,3312830,Italy
Youth,3312830,France
Youth,3312830,Switzerland
The Treasure,4515684,France
The Treasure,4515684,Romania
Bāhubali: The Beginning,2631186,India
Turbo Kid,3672742,New Zealand
Turbo Kid,3672742,Canada
They Call Me Jeeg,3775086,Italy
Demolition,1172049,United States of America
Louder Than Bombs,2217859,Denmark
Louder Than Bombs,2217859,France
Louder Than Bombs,2217859,Norway
4th Man Out,3978720,United States of America
Rams,3296658,Denmark
Rams,3296658,Iceland
Rams,3296658,Norway
Rams,3296658,Poland
Roald Dahl's Esio Trot,3205394,United Kingdom
Embers,3503460,Poland
Embers,3503460,United States of America
Dragon Ball Z: Resurrection 'F',3819668,Japan
Dragon Ball Z: Resurrection 'F',3819668,United States of America
Long Way North,2262345,Denmark
Long Way North,2262345,France
My Good Hans,3817188,Germany
My Good Hans,3817188,Russia
Eaters,2109127,
The Phoenix Incident,4341532,United States of America
The Stanford Prison Experiment,420293,United States of America
Scouts Guide to the Zombie Apocalypse,1727776,United States of America
Mojave,2322517,United States of America
Alvin and the Chipmunks: The Road Chip,2974918,United States of America
The Empire of Corpses,4235644,Japan
Capture the Flag,3896100,Spain
Paul Blart: Mall Cop 2,3450650,United States of America
Highway to Hellas,4766604,Germany
Highway to Hellas,4766604,Greece
Woodlawn,4183692,United States of America
Circle,3118452,United States of America
Ip Man 3,2888046,China
Ip Man 3,2888046,Hong Kong
"Hail, Caesar!",475290,United States of America
Deadpool,1431045,United States of America
Belgica,3544218,France
Belgica,3544218,Belgium
Midnight Special,2649554,Greece
Midnight Special,2649554,United States of America
Hardcore Henry,3072482,Russia
Hardcore Henry,3072482,United States of America
Sing Street,3544112,United States of America
Sing Street,3544112,United Kingdom
Sing Street,3544112,Ireland
Now You See Me 2,3110958,Canada
Now You See Me 2,3110958,China
Now You See Me 2,3110958,United Kingdom
Now You See Me 2,3110958,United States of America
Popstar: Never Stop Never Stopping,3960412,United States of America
Café Society,4513674,United States of America
Star Trek Beyond,2660888,United States of America
Batman: The Killing Joke,4853102,United States of America
Jason Bourne,4196776,United Kingdom
Jason Bourne,4196776,United States of America
Jason Bourne,4196776,China
Sully,3263904,United States of America
War Dogs,2005151,United States of America
Kubo and the Two Strings,4302938,Japan
Kubo and the Two Strings,4302938,United States of America
Kill Command,2667380,United Kingdom
Hell or High Water,2582782,United States of America
Snowden,3774114,Germany
Snowden,3774114,United States of America
Storks,4624424,United States of America
Shin Godzilla,4262980,Japan
Doctor Strange,1211837,United States of America
Hacksaw Ridge,2119532,Australia
Hacksaw Ridge,2119532,United States of America
Batman: Return of the Caped Crusaders,5973626,United States of America
Wiener-Dog,4144190,United States of America
The Last King,4738360,Denmark
The Last King,4738360,Hungary
The Last King,4738360,Ireland
The Last King,4738360,Norway
The Last King,4738360,Sweden
The Duel,2436682,United States of America
Assassin's Creed,2094766,France
Assassin's Creed,2094766,Malta
Assassin's Creed,2094766,Hong Kong
Assassin's Creed,2094766,United Kingdom
Assassin's Creed,2094766,United States of America
Assassin's Creed,2094766,Taiwan
Paterson,5247022,Germany
Paterson,5247022,United States of America
Paterson,5247022,France
The Invisible Guest,4857264,Spain
Moonlight,4975722,United Kingdom
Moonlight,4975722,United States of America
